ORIGIN,mean,count
MGM,34.3448275862069,174
BLV,31.79136690647482,139
ROW,27.852713178294575,129
FLG,27.852564102564102,156
MLU,25.453703703703702,108
LFT,25.07471264367816,174
DAL,25.072923588039867,6020
LCK,23.99019607843137,102
SHV,23.586744639376217,513
ROA,23.175324675324674,154
EVV,23.05095541401274,157
OAJ,22.114035087719298,114
ABE,21.817241379310346,290
MFE,21.800486618004864,411
BTR,21.37249283667622,349
AVP,20.071770334928228,209
MRY,19.812664907651715,379
CHO,19.677852348993287,149
SBN,19.507142857142856,700
FWA,19.151119402985074,536
DFW,19.06686596533717,26426
SFO,19.0513373930471,12973
FNT,18.77027027027027,296
SFB,18.497020262216925,839
CRP,18.435393258426966,356
BNA,18.397391125718983,9736
HHH,18.059800664451828,301
AUS,17.765192655805535,7734
TRI,17.556521739130435,115
MSY,17.486603910209993,4143
ACV,17.35377358490566,212
CHA,17.21728971962617,428
BLI,17.203125,192
HOU,16.708612226684515,4482
TPA,16.62646461490392,6401
RDD,16.616541353383457,133
GFK,16.52991452991453,117
STL,16.24934136243884,5314
LAS,16.24064208122881,14453
MAF,15.997260273972604,730
IAH,15.994215617831854,10027
LAN,15.9453125,128
MDW,15.74975922953451,6230
SBP,15.572792362768496,419
ORD,15.547655522513592,33291
ELP,15.195067264573991,1338
MQT,15.070866141732283,127
TUL,15.02685821361649,1601
MEM,14.831665150136487,2198
BWI,14.797142505234635,8119
MOT,14.743589743589743,234
PNS,14.743451463790446,1298
XNA,14.621329211746522,1294
FAT,14.5420054200542,1107
PSP,14.532271584241409,1193
FSD,14.43972602739726,730
MIA,14.434476025168149,9218
MBS,14.425,160
SAT,14.368067717454757,3426
AZO,14.272727272727273,165
LBB,14.25095785440613,522
SGF,14.202777777777778,720
MLI,14.162621359223301,412
LIT,14.034970857618651,1201
DCA,14.016995981245813,11944
MTJ,13.867132867132867,143
TLH,13.723300970873787,412
FLL,13.627352572145545,6376
LRD,13.451612903225806,155
EYW,13.333333333333334,675
PHX,13.286534779834078,17237
SRQ,13.175765645805592,1502
MOB,13.16891891891892,148
CLT,13.131129792383136,15702
ICT,13.113017154389505,991
RAP,13.085245901639345,610
GPT,13.071428571428571,266
CLD,13.02450980392157,204
MCO,13.01667575781189,12833
JAX,13.014754703061602,2711
COU,12.845679012345679,324
AEX,12.766355140186915,107
LGA,12.720280348638692,11129
GRB,12.71860465116279,430
MCI,12.690137561203077,4289
HRL,12.652173913043478,299
ECP,12.51345962113659,1003
CAE,12.39516129032258,496
BHM,12.133682830930537,1526
OAK,12.12987987987988,2664
PIA,12.128440366972477,436
DEN,12.115354980737479,27255
TUS,12.06989247311828,1674
HSV,12.012307692307692,650
CRW,11.982222222222223,225
SAF,11.973614775725594,379
SAN,11.849926545372359,8849
VPS,11.832558139534884,1075
AZA,11.813807531380753,478
TYS,11.805275407292475,1289
ABQ,11.656176608736496,2129
ROC,11.635473340587595,919
OKC,11.621204819277109,2075
ORF,11.48441926345609,1765
ATL,11.475346403301886,27136
SGU,11.42512077294686,414
LEX,11.352028639618139,838
PGD,11.333944954128441,545
OMA,11.14519056261343,2204
ATW,11.130555555555556,720
HPN,11.092731829573935,798
PSC,11.07645875251509,497
CHS,11.073988970588236,2176
AMA,11.029268292682927,410
CAK,11.002105263157894,475
BUR,10.920851747689836,2489
PHL,10.864035087719298,9120
PBI,10.820206841686556,2514
IDA,10.70631067961165,412
AVL,10.62155388471178,798
LNK,10.615107913669064,278
LAX,10.574826989619377,16184
JAN,10.488721804511279,532
EGE,10.481203007518797,133
MDT,10.428571428571429,546
BOI,10.383136094674557,2028
RNO,10.382387706855791,1692
SAV,10.341011235955056,1780
DAB,10.161716171617162,303
SNA,10.108643933386201,3783
JAC,10.089086859688196,449
EUG,10.08457711442786,804
DTW,10.005418422636966,9966
RSW,10.005407354001441,2774
PVU,9.982222222222223,225
RDU,9.938923395445135,4830
DSM,9.922230374174616,1363
ABI,9.9,240
RIC,9.833437305053026,1603
PIE,9.75761421319797,788
CID,9.639614855570839,727
MYR,9.617305976806422,1121
GRR,9.297834991222937,1709
ONT,9.258446687143485,2279
MSN,9.258014073494918,1279
JFK,9.251811379023637,8419
RST,9.251533742331288,163
MSP,9.228233469071165,10314
BUF,9.166319082377477,1918
STX,9.087378640776699,103
SDF,9.014958205015398,2273
DAY,8.95166163141994,662
COS,8.928442028985508,1104
SMF,8.84488717218947,4919
GNV,8.654008438818565,237
TVC,8.617710583153348,463
IND,8.611500701262273,4278
SEA,8.562374593509999,14453
IAD,8.45679012345679,5427
ELM,8.421052631578947,114
GSP,8.410894941634242,1285
MKE,8.390324963072379,2708
GRK,8.309941520467836,171
CVG,8.28505443747938,3031
CLE,8.269532306028657,3699
BOS,8.076140518200605,12582
STS,8.00513698630137,584
GTF,7.935672514619883,171
BZN,7.894424673784104,843
HDN,7.826923076923077,104
CMH,7.8231274638633375,3805
BMI,7.722222222222222,180
PIT,7.715584068430901,3741
ITO,7.682624113475177,564
ISP,7.608695652173913,391
PDX,7.592835060920168,5499
MSO,7.518691588785047,428
SJU,7.478291316526611,2856
CMI,7.421768707482993,147
BGR,7.325779036827195,353
SBA,7.123304562268804,811
SYR,7.085896076352068,943
HNL,6.974851768554488,4891
MHT,6.743055555555555,576
ILM,6.7272727272727275,726
MFR,6.690114068441065,526
GSO,6.681377825618945,929
DLH,6.640625,256
PVD,6.588191881918819,1355
DRO,6.5673076923076925,416
SJC,6.56643929058663,3665
CPR,6.538116591928251,223
BTV,6.512014787430684,541
LSE,6.457142857142857,105
ALB,6.449829931972789,1176
BRO,6.256410256410256,117
RDM,6.039655172413793,580
LGB,5.85665818490246,1179
FCA,5.767371601208459,331
LIH,5.767062314540059,1348
EWR,5.730104146197681,10178
FAR,5.576859504132232,605
SLC,5.495926882575005,10066
XWA,5.333333333333333,198
BDL,4.876719307182883,1963
PWM,4.847701149425287,1044
GJT,4.809417040358745,446
BQN,4.5,186
STT,4.384288747346072,471
BIL,4.326315789473684,380
BIS,4.144736842105263,304
ANC,3.989479512735327,1806
MHK,3.9266666666666667,150
BFL,3.7943548387096775,248
GEG,3.718954248366013,1530
MLB,3.4173553719008263,242
OGG,3.0148148148148146,2160
YUM,2.971223021582734,139
KOA,2.884155455904335,1338
SUN,1.462686567164179,134
JNU,0.2824427480916031,393
HLN,-0.7580645161290323,124
FAI,-0.7668539325842697,356
ASE,-1.3277777777777777,180
SIT,-3.5984251968503935,127
KTN,-3.935960591133005,203
